Institution Name	Institution Symbol	Institution State	Library Type	Requests To Lender	Requests To Lender From WorldCat	Requests Canceled	Requests Filled	Requests Filled (Loan)	Requests Filled (Copy)	Requests Unfilled	Direct Request: Unmediated	Direct Request: Mediated	Average Turnaround Time For Filled Requests (dd:hh:mm)	Average Turnaround Time For Loan Filled Requests (dd:hh:mm)	Average Turnaround Time For Copy Filled Requests (dd:hh:mm)
GARFIELD CNTY LIBRS	GCQ	CO	Public	1	1	0	1	1	0	0	0	0	4:00:00	4:00:00	0:00:00
GATESVILLE PUB LIBR	G4Z	TX	Public	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
GENESEO PUB LIBR DIST	JYY	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
GEORGETOWN PUB LIBR	QS5	TX	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
GLASGOW CITY-CNTY LIBR	YMW	MT	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
GLENDALE LIBR ARTS & CULTURE	CGL	CA	Public	1	1	0	1	1	0	0	0	0	7:00:00	7:00:00	0:00:00
GLENDALE PUB LIBR	VTL	AZ	Public	6	6	0	2	2	0	4	0	0	1:12:00	1:12:00	0:00:00
GOODING PUB LIBR	Y#9	ID	Public	1	1	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
GORDON-CONWELL THEOL SEMINARY	BCT	MA	Theological	0	0	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
GOUCHER COL	GOC	MD	Academic	1	1	0	1	1	0	0	0	0	3:00:00	3:00:00	0:00:00
GRACE A DOW MEM LIBR	GDM	MI	Public	1	1	0	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
GRAYS HARBOR COL	Z#3	WA	"Junior, Community, Technical Colleges"	1	1	0	1	1	0	0	0	0	3:00:00	3:00:00	0:00:00
GREAT NECK LIBR	NBT	NY	Public	3	3	0	2	2	0	1	0	0	0:12:00	0:12:00	0:00:00
GREAT RIVER REG LIBR	GRR	MN	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
GREENE CNTY PUB LIBR	GRC	OH	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
GRINNELL COL	IOG	IA	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
GUYMON PUB LIBR	GPL	OK	Public	0	0	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
HANSEN COMMUN LIBR	HANCL	ID	Public	2	2	0	2	2	0	1	0	0	0:12:00	0:12:00	0:00:00
HARDIN-SIMMONS UNIV	TXS	TX	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
HARLINGEN PUB LIBR	TX7	TX	Public	1	1	0	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
HARLOWTON PUB LIBR	H8Q	MT	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
HARRIS CNTY PUB LIBR	HT#	TX	Public	4	4	0	3	3	0	1	0	0	4:07:55	4:07:55	0:00:00
HASTINGS PUB LIBR	HAS	NE	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
HAYNER PUB LIBR DIST	IK2	IL	Public	1	1	0	1	1	0	0	0	0	4:00:00	4:00:00	0:00:00
HENDERSON STATE UNIV	AKH	AR	Academic	2	2	0	1	1	0	1	0	0	1:00:00	1:00:00	0:00:00
HENRICO CNTY PUB LIBR	VHP	VA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
HERITAGE UNIV	H5I	WA	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
HIGH PLAINS LIBR DIST	SO$	CO	Public	4	4	0	2	2	0	2	0	0	2:00:00	2:00:00	0:00:00
HIGHLAND COM COLL LIBR	IJW	IL	"Junior, Community, Technical Colleges"	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
HIGHLINE COLL LIBR	UOI	WA	Academic	2	2	0	2	2	0	0	0	0	0:00:00	0:00:00	0:00:00
HINSDALE PUB LIBR	TL9	IL	Public	1	1	0	1	1	0	0	0	0	4:00:00	4:00:00	0:00:00
HOFSTRA UNIV	ZIH	NY	Academic	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
HOLLINS UNIV	VHC	VA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
HOPE WELTY PUB LIBR DIST	IV9	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
HOUSTON BAPTIST UNIV LIBR	TWH	TX	Academic	2	2	0	1	1	0	1	0	0	1:00:00	1:00:00	0:00:00
HOUSTON PUB LIBR	TXN	TX	Public	6	6	0	2	2	0	3	0	0	2:00:00	2:00:00	0:00:00
HOWARD CNTY LIBR	HWARD	TX	Public	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
HUMBOLDT CNTY LIBR	EHU	CA	Public	3	3	1	1	1	0	2	0	0	4:00:00	4:00:00	0:00:00
HUNTSVILLE MADISON CNTY PUB LIBR	MWD	AL	Public	1	1	0	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
HUTCHINSON PUB LIBR	KAH	KS	Public	1	1	0	1	1	0	0	0	0	3:00:00	3:00:00	0:00:00
IDAHO FALLS PUB LIBR	I4F	ID	Public	18	18	0	1	1	0	16	0	0	3:00:00	3:00:00	0:00:00
IDAHO STATE UNIV LIBR	ONB	ID	Academic	3	3	0	3	3	0	0	0	0	1:16:05	1:16:05	0:00:00
ILLINOIS PRAIRIE DIST PUB LIBR	IEQ	IL	Public	1	1	0	1	1	0	0	0	0	3:00:00	3:00:00	0:00:00
ILLINOIS STATE LIBR	SPI	IL	State Library	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
IMAGINEIF LIBRS FLATHEAD CNTY	MZC	MT	Public	2	2	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00
INDIAN TRAILS PUB LIBR DIST	JAG	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
INDIANA STATE LIBR	ISL	IN	State Library	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
INDIANA STATE UNIV LIBR	ISU	IN	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
"INTERNATIONAL MISSION BRD, SBC"	VRD	VA	Corporate	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
IRVING PUB LIBR SYST	IJC	TX	Public	2	2	0	2	2	0	0	0	0	2:00:00	2:00:00	0:00:00
JACKSON CNTY LIBR SVC	JCL	OR	Public	71	71	0	15	15	0	53	0	0	2:16:05	2:16:05	0:00:00
JACKSON/HINDS LIBR SYST	MJP	MS	Public	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
JEFFERSON CNTY LIBR	MJ8	MO	Public	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
JEFFERSON CNTY PUB LIBR	QQ3	CO	Public	2	2	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00
JEFFERSON CNTY RURAL LIBR DIST	Z85	WA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
JEFFERSON COM COLL	VND	NY	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
JEFFERSON PARISH LIBR	LMJ	LA	Public	6	6	0	3	3	0	3	0	0	0:00:00	0:00:00	0:00:00
JEROME PUB LIBR	J@R	ID	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
JOHN JAY COL OF CRIMINAL JUSTICE LIBR	VVJ	NY	Law Libraries	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
JOHNSON CNTY LIBR	KNJ	KS	Public	2	2	0	1	1	0	1	0	0	5:00:00	5:00:00	0:00:00
JOHNSON CNTY LIBR	W8J	WY	Public	3	3	0	0	0	0	3	0	0	0:00:00	0:00:00	0:00:00
JOINT BASE LEWIS-MCCHORD LIBRARY SYSTEM	AVW	WA	Federal/Natl Government	1	1	0	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
K.O. LEE ABERDEEN PUB LIBRARY.	AML	SD	Public	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
KALAMAZOO VAL COMMUN COL	R2A	MI	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
KANSAS CITY PUB LIBR	KCP	MO	Public	3	3	0	2	2	0	1	0	0	2:00:00	2:00:00	0:00:00
KEARNEY PUB LIBR	KPL	NE	Public	2	2	0	1	1	0	1	0	0	1:00:00	1:00:00	0:00:00
KENT STATE UNIV	KSU	OH	Academic	1	1	0	1	1	0	0	0	0	4:00:00	4:00:00	0:00:00
KITSAP REG LIBR	YEQ	WA	Public	32	32	0	27	27	0	9	0	0	2:07:12	2:07:12	0:00:00
KLAMATH CNTY LIBR SERV DIST	KCL	OR	Public	24	24	0	0	0	0	27	0	0	0:00:00	0:00:00	0:00:00
"KNOX CNTY PUB LIBR, KNOXVILLE"	TKL	TN	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
KUNA LIBR DIST	K#U	ID	Public	2	2	0	2	2	0	0	0	0	1:00:00	1:00:00	0:00:00
LA VISTA PUB LIBR	YA3	NE	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
LAKE CNTY PUB LIBR	ILC	IN	Public	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
LAKE WASHINGTON INST OF TECHNOL	L@W	WA	"Junior, Community, Technical Colleges"	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
LAKEWOOD PUB LIBR	LAP	OH	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
LAMAR UNIV	TXR	TX	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
LANE COMMUN COL	OLE	OR	"Junior, Community, Technical Colleges"	8	8	0	7	7	0	1	0	0	0:13:41	0:13:41	0:00:00
LARAMIE CNTY COMMUN COL-CHEYENNE	L3R	WY	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
LARAMIE CNTY LIBR SYST	WYL	WY	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
LAS VEGAS CLARK CNTY LIBR DIST	NVC	NV	Public	7	7	0	3	3	0	4	0	0	1:07:55	1:07:55	0:00:00
LATAH CNTY LIBR DIST	ZWR	ID	Public	34	34	2	4	4	0	27	0	0	0:00:00	0:00:00	0:00:00
LAWRENCE PUB LIBR	KSA	KS	Public	4	4	0	1	1	0	3	0	0	1:00:00	1:00:00	0:00:00
LEE CNTY LIBR SYST	FFL	FL	Public	2	2	0	1	1	0	1	0	0	1:00:00	1:00:00	0:00:00
LEMHI COUNTY LIBRARY DISTRICT	ZDL	ID	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
LEWIS & CLARK COL	OLP	OR	Academic	3	3	0	3	1	2	0	0	0	0:00:00	0:00:00	0:00:00
LEWIS & CLARK LIBR	MZI	MT	Public	2	2	0	1	1	0	1	0	0	1:00:00	1:00:00	0:00:00
LEWIS UNIV LIBR	ICX	IL	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
LEWIS-CLARK STATE COL	WK0	ID	Academic	3	3	0	0	0	0	3	0	0	0:00:00	0:00:00	0:00:00
LEWISTON CITY LIBR	IDLEW	ID	Public	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
LIBR OF THE MARINE CORPS - BRECKENRIDGE	QMC	VA	Federal/Natl Government	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
LIBRARIES IN CLACKAMAS CNTY	LIQ	OR	Public	76	76	1	57	57	0	18	0	0	2:23:02	2:23:02	0:00:00
"LIBRARY OF VIRGINIA, THE"	VIC	VA	State Library	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
LILLIE M EVANS LIBR DIST	ISQ	IL	Public	1	1	0	1	1	0	0	0	0	3:00:00	3:00:00	0:00:00
LIMA PUB LIBR	LIM	OH	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
LINCOLN CNTY LIBR DIST	LCS	OR	Public	19	19	0	12	12	0	8	0	0	0:10:05	0:10:05	0:00:00
LINCOLN LIBR	ILM	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
LINFIELD UNIV MCMINNVILLE CAM LIBR	OLC	OR	Academic	11	11	0	9	9	0	2	0	0	0:00:00	0:00:00	0:00:00
LITTLE ELM PUB LIBR	LEPLL	TX	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
LIVE OAK PUB LIBRS	GSC	GA	Public	1	1	0	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
LIVINGSTON PARK CNTY PUB LIBR	LVQ	MT	Public	2	2	0	2	2	0	0	0	0	1:00:00	1:00:00	0:00:00
LOGAN LIBR	UUD	UT	Public	3	3	0	2	2	0	1	0	0	2:00:00	2:00:00	0:00:00
LOGAN UNIV	MU9	MO	Medical	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
LONE STAR COLLEGE SYSTEM	NHA	TX	Academic	1	1	0	1	1	0	0	0	0	7:00:00	7:00:00	0:00:00
LONGVIEW PUB LIBR	FT6	TX	Public	3	3	0	2	2	0	1	0	0	1:00:00	1:00:00	0:00:00
LOS ALAMOS CNTY LIBR SYST	LAN	NM	Public	2	2	0	1	1	0	1	0	0	2:00:00	2:00:00	0:00:00
LOUISVILLE FREE PUB LIBR	KLP	KY	Public	2	2	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00
LOYOLA UNIV OF CHICAGO	IAL	IL	Academic	1	1	0	1	1	0	0	0	0	3:00:00	3:00:00	0:00:00
LUBBOCK PUB LIBR	TXL	TX	Public	8	8	0	5	5	0	4	0	0	1:14:24	1:14:24	0:00:00
MADISON LIBR DIST	Q5K	ID	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MADISON VAL PUB LIBR	YZY	MT	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MARICOPA CNTY LIBR DIST	MCT	AZ	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MARICOPA COMMUN COL DIST	PMD	AZ	Academic	5	5	0	2	2	0	3	0	0	1:12:00	1:12:00	0:00:00
MARION CARNEGIE LIBR	UW3	IL	Public	1	1	0	1	1	0	0	0	0	3:00:00	3:00:00	0:00:00
MARIPOSA CNTY LIBR	MCX	CA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MARSHALL PUB LIBR	Q6J	ID	Public	20	20	0	10	10	0	10	0	0	1:14:24	1:14:24	0:00:00
MARYLAND INST COL OF ART	MYA	MD	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
MASSANUTTEN REG LIBR	PFN	VA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MCALLEN PUB LIBR	TME	TX	Public	4	4	1	0	0	0	3	0	0	0:00:00	0:00:00	0:00:00
MCKINNEY PUB LIBR	M$K	TX	Public	4	4	0	0	0	0	4	0	0	0:00:00	0:00:00	0:00:00
MEMPHIS PUB LIBR & INFO CTR	TMN	TN	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MERCED COLL LIBR	UOO	CA	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
MERCER CNTY COMMUN COL	MRR	NJ	"Junior, Community, Technical Colleges"	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
MERCER CNTY PUB LIBR	KK5	KY	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
MERIDIAN LIBR DIST	ZPJ	ID	Public	4	4	0	2	2	0	2	0	0	2:00:00	2:00:00	0:00:00
MESA PUB LIBR	MSA	AZ	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
METROPOLITAN LIBR SYST	OKE	OK	Public	4	4	0	3	3	0	2	0	0	3:00:00	3:00:00	0:00:00
METROPOLITAN MUS OF ART	MZA	NY	Corporate	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
"MIAMI UNIV, HAMILTON CAM"	OHM	OH	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MID-CONTINENT PUB LIBR	CMI	MO	Public	2	2	0	2	2	0	0	0	0	5:12:00	5:12:00	0:00:00
MID-HUDSON LIBR SYST	VFO	NY	Public	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
MIDDLE TENNESSEE STATE UNIV	TXM	TN	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MIDLAND CNTY PUB LIBR	MCY	TX	Public	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
"MIDWESTERN STATE UNIV, G MOFFETT LIBR"	TMI	TX	Academic	4	4	0	3	3	0	1	0	0	0:00:00	0:00:00	0:00:00
MILES CITY PUB LIBR	YNZ	MT	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MILWAUKEE SCH OF ENGIN LIBR	WLD	WI	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
MINERAL CNTY PUB LIBR SUPERIOR	Y65	MT	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
MISHAWAKA PENN HARRIS PUB LIBR	IMP	IN	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MISSIO SEMINARY	PB4	PA	Theological	1	1	1	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MISSION VIEJO LIBR	MMK	CA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MISSISSIPPI CNTY LIBR	MX9	MO	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MISSOULA PUB LIBR	Y38	MT	Public	2	2	0	2	2	0	0	0	0	0:00:00	0:00:00	0:00:00
MISSOURI RIVER REG LIBR	MUJ	MO	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
MISSOURI STATE UNIV	MOU	MO	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MOBILE PUB LIBR	AMP	AL	Public	1	1	0	1	1	0	1	0	0	3:00:00	3:00:00	0:00:00
MOHAVE CNTY LIBR KINGMAN	MC2	AZ	Public	3	3	0	0	0	0	4	0	0	0:00:00	0:00:00	0:00:00
MONROE CNTY PUB LIBR	IMR	IN	Public	2	2	0	2	2	0	0	0	0	0:12:00	0:12:00	0:00:00
MONTANA BIBLE COL	MTBCL	MT	Academic	2	2	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00
MONTANA STATE UNIV BILLINGS LIBR	EM2	MT	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
"MONTANA STATE UNIV, MSU LIBR"	MZF	MT	Academic	3	3	0	2	2	0	0	0	0	1:00:00	1:00:00	0:00:00
MONTEREY CNTY FREE LIBRS	JRB	CA	Public	3	3	0	2	2	0	2	0	0	2:12:00	2:12:00	0:00:00
MONTGOMERY CNTY MEM LIBR SYST	QS2	TX	Public	1	1	0	1	1	0	0	0	0	2:00:00	2:00:00	0:00:00
MONTGOMERY COL LIBR	MRB	MD	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MONTROSE REGIONAL LIBR DIST	RS$	CO	Public	2	2	0	1	1	0	1	0	0	2:00:00	2:00:00	0:00:00
MOODY BIBLE INST LIBR	JBT	IL	Theological	3	3	0	3	3	0	0	0	0	1:00:00	1:00:00	0:00:00
MOORE MEM PUB LIBR	YU6	TX	Public	2	2	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MORNINGSIDE UNIV	IOM	IA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MORTON PUB LIBR DIST	IST	IL	Public	1	1	0	1	1	0	0	0	0	4:00:00	4:00:00	0:00:00
MOUNT ANGEL ABBEY LIBR	MAA	OR	Association/Foundation	11	11	0	8	8	0	3	0	0	1:00:00	1:00:00	0:00:00
MOUNT PROSPECT PUB LIBR	GO3	IL	Public	3	3	0	0	0	0	3	0	0	0:00:00	0:00:00	0:00:00
MOUNT SAINT MARYS UNIV LOS ANGELES	CMM	CA	Academic	2	2	0	1	0	1	1	0	0	0:00:00	0:00:00	0:00:00
MT HOOD COM COLL LIBR	MHD	OR	Academic	10	10	0	9	9	0	1	0	0	0:07:55	0:07:55	0:00:00
MULTNOMAH CNTY LIBR	ORX	OR	Public	33	33	1	0	0	0	32	0	0	0:00:00	0:00:00	0:00:00
MULTNOMAH UNIV	MLH	OR	Academic	12	12	0	9	9	0	3	0	0	0:13:26	0:13:26	0:00:00
MUNCIE PUB LIBR	IMU	IN	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
MUNICIPAL LIBR CONSORTIUM ST LOUIS CNTY	ZAG	MO	Public	1	1	0	1	1	0	0	0	0	2:00:00	2:00:00	0:00:00
NAMPA PUB LIBR	ZPP	ID	Public	3	3	0	0	0	0	3	0	0	0:00:00	0:00:00	0:00:00
NAPA CNTY LIBR	JRI	CA	Public	2	2	1	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
NASHVILLE PUB LIBR	TNN	TN	Public	2	2	0	1	1	0	1	0	0	1:00:00	1:00:00	0:00:00
NASHVILLE STATE TECH COMMUN COL	TNT	TN	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
NATIONAL GALLERY OF ART LIBR	NGA	DC	Federal/Natl Government	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
NATIONAL SCIENCE FOUND	NSF	VA	Federal/Natl Government	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
NATIONAL UNIV OF NATURAL MED	OXJ	OR	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
NATRONA CNTY PUB LIBR	CWF	WY	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
NAVAJO CNTY LIBR DIST	N8V	AZ	Public	4	4	0	0	0	0	4	0	0	0:00:00	0:00:00	0:00:00
NAVAL POSTGRADUATE SCH	AD#	CA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
NAVAL WAR COLL LIBR	WNC	RI	Federal/Natl Government	1	1	0	2	1	1	0	0	0	0:12:00	1:00:00	0:00:00
NEILL PUB LIBR	XRR	WA	Public	1	1	0	1	1	0	0	0	0	2:00:00	2:00:00	0:00:00
NEVADA CNTY LIBR	NEV	CA	Public	2	2	0	0	0	0	3	0	0	0:00:00	0:00:00	0:00:00
NEW BRAUNFELS PUB LIBR	D9M	TX	Public	3	3	0	0	0	0	3	0	0	0:00:00	0:00:00	0:00:00
NEW ORLEANS PUB LIBR	LNC	LA	Public	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
NEW SCH THE	ZMU	NY	Academic	0	0	0	1	1	0	0	0	0	7:00:00	7:00:00	0:00:00
NEW YORK SOC LIBR	ZNS	NY	Association/Foundation	0	0	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
NEWPORT BEACH PUB LIBR	CNB	CA	Public	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
NEWPORT PUB LIBR	OXA	OR	Public	13	13	1	4	4	0	10	0	0	2:12:00	2:12:00	0:00:00
NICEVILLE LIBR	FD8	FL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
NICHOLSON MEM LIBR	NM$	TX	Public	3	3	0	1	1	0	2	0	0	3:00:00	3:00:00	0:00:00
NIOGA LIBR SYST	ZNM	NY	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
NORFOLK PUB LIBR	TWE	VA	Public	1	1	0	1	1	0	0	0	0	2:00:00	2:00:00	0:00:00
NORMANDALE COM COLL LIBR	NOR	MN	"Junior, Community, Technical Colleges"	2	2	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00
NORTH BINGHAM CNTY DIST LIBR	Y#2	ID	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
NORTH CENTRAL WASHINGTON LIBRARIES	OEI	WA	Public	2	2	0	2	2	0	1	0	0	1:00:00	1:00:00	0:00:00
NORTH DAKOTA STATE LIBR	NDS	ND	State Library	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
NORTH DAKOTA STATE UNIV LIBR	NWQ	ND	Academic	2	2	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
NORTH IDAHO COLL	XFH	ID	Academic	6	6	0	6	6	0	0	0	0	0:00:00	0:00:00	0:00:00
NORTH LAKE CNTY PUB LIBR DIST	Y59	MT	Public	1	1	0	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
NORTH OLYMPIC LIBR SYST	NOQ	WA	Public	4	4	0	1	1	0	3	0	0	2:00:00	2:00:00	0:00:00
NORTH PARK UNIV LIBR	ICZ	IL	Theological	1	1	0	1	1	0	0	0	0	2:00:00	2:00:00	0:00:00
NORTH SUBURBAN PUB LIBR DIST ROSCOE BR	I#X	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
NORTHBROOK PUB LIBR	INO	IL	Public	2	2	0	1	1	0	1	0	0	1:00:00	1:00:00	0:00:00
NORTHERN ARIZONA UNIV	AZN	AZ	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
NORTHERN ILLINOIS UNIV	JNA	IL	Academic	4	4	0	1	1	0	2	0	0	1:00:00	1:00:00	0:00:00
NORTHWEST CHRISTIAN UNIV	NWE	OR	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
NORTHWEST UNIV	HNW	WA	Academic	4	4	0	3	3	0	1	0	0	0:00:00	0:00:00	0:00:00
OAKLAND PUB LIBR	JRK	CA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
OC PUBLIC LIBRARIES	ORK	CA	Public	3	3	0	1	1	0	2	0	0	1:00:00	1:00:00	0:00:00
OHIO HIST CONNECTION	OHT	OH	Corporate	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
OKLAHOMA DEPT OF LIBR	OKD	OK	State Library	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
OKLAHOMA STATE UNIV	OKS	OK	Major Academic Research	2	2	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00
OKLAHOMA STATE UNIV OKLAHOMA CITY LIBR	OUJ	OK	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
OLATHE PUB LIBR	KOP	KS	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
OLD DOMINION UNIV	VOD	VA	Academic	1	1	0	1	1	0	0	0	0	2:00:00	2:00:00	0:00:00
OLYMPIC COL	Z84	WA	"Junior, Community, Technical Colleges"	2	2	0	1	1	0	1	0	0	1:00:00	1:00:00	0:00:00
ONONDAGA CNTY PUB LIBR	YVO	NY	Public	4	4	0	2	2	0	2	0	0	2:12:00	2:12:00	0:00:00
ONONDAGA COMMUN COL	VOC	NY	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
